Device_ID,Latitude,Longitude,Time_In,Time_Out,Category,Gender,Age,Date,Days
12,41.893603,-87.628412,0:00,12:00,Home,Female,24,16-Aug-20,Sunday
12,41.894259,-87.629464,12:03,12:06,Food,Female,24,16-Aug-20,Sunday
12,41.893603,-87.628412,12:10,14:00,Home,Female,24,16-Aug-20,Sunday
12,41.89705,-87.628451,14:10,15:20,Food,Female,24,16-Aug-20,Sunday
12,41.890821,-87.615527,15:40,19:00,Food,Female,24,16-Aug-20,Sunday
12,41.893603,-87.628412,19:07,23:59,Home,Female,24,16-Aug-20,Sunday
12,41.893603,-87.628412,0:00,9:40,Home,Female,24,17-Aug-20,Monday
12,41.897651,-87.628392,9:45,9:50,Food,Female,24,17-Aug-20,Monday
12,41.897162,-87.627141,9:55,12:00,School,Female,24,17-Aug-20,Monday
12,41.896943,-87.627168,12:03,12:18,Food,Female,24,17-Aug-20,Monday
12,41.893603,-87.628412,12:26,16:45,Home,Female,24,17-Aug-20,Monday
12,41.897162,-87.627141,16:55,18:50,School,Female,24,17-Aug-20,Monday
12,41.893603,-87.628412,19:00,23:59,Home,Female,24,17-Aug-20,Monday
12,41.893603,-87.628412,0:00,8:30,Home,Female,24,18-Aug-20,Tuesday
12,41.880585,-87.62749,8:45,8:50,Food,Female,24,18-Aug-20,Tuesday
12,41.880381,-87.629817,8:55,12:00,Work,Female,24,18-Aug-20,Tuesday
12,41.882201,-87.629057,12:06,13:00,Food,Female,24,18-Aug-20,Tuesday
12,41.880381,-87.629817,13:06,17:00,Work,Female,24,18-Aug-20,Tuesday
12,41.897162,-87.627141,17:30,19:58,School,Female,24,18-Aug-20,Tuesday
12,41.893603,-87.628412,20:10,23:59,Home,Female,24,19-Aug-20,Wednesday
12,41.893603,-87.628412,0:00,12:50,Home,Female,24,19-Aug-20,Wednesday
12,41.897162,-87.627141,13:00,15:05,School,Female,24,19-Aug-20,Wednesday
12,41.893603,-87.628412,15:12,17:30,Home,Female,24,19-Aug-20,Wednesday
12,41.883024,-87.626631,18:00,19:00,Hospital,Female,24,19-Aug-20,Wednesday
12,41.893603,-87.628412,19:18,23:59,Home,Female,24,19-Aug-20,Wednesday
12,41.893603,-87.628412,0:00,8:30,Home,Female,24,20-Aug-20,Thursday
12,41.880381,-87.629817,8:55,12:00,Work,Female,24,20-Aug-20,Thursday
12,41.880585,-87.62749,12:05,12:10,Food,Female,24,20-Aug-20,Thursday
12,41.880381,-87.629817,12:15,17:00,Work,Female,24,20-Aug-20,Thursday
12,41.897162,-87.627141,17:30,19:00,School,Female,24,20-Aug-20,Thursday
12,41.893603,-87.628412,19:08,19:45,Home,Female,24,20-Aug-20,Thursday
12,41.903395,-87.675118,20:00,21:30,Food,Female,24,20-Aug-20,Thursday
12,41.903008,-87.67094,21:35,23:00,Food,Female,24,20-Aug-20,Thursday
12,41.893603,-87.628412,23:15,23:59,Home,Female,24,20-Aug-20,Thursday
12,41.893603,-87.628412,0:00,8:30,Home,Female,24,21-Aug-20,Friday
